source	record_id	original	editado	translation	tier	profile	unit_kind	unit_index	relation	language_hint	candidate_count	nahuatl_text	spanish_text	citation	context
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	9	next-line	nahuatl	0	tlatelulcas	; y que fue sueño pasado lo que se había tratado, comunicado y concertado (f:056v.)	(f:056v.)	"sta herronía y atrevimiento tan grande, que son mis hijos, que aunque soy mujer quizás me obedecerán a mis ruegos para que estemos todos quietos, pacíficos, sosegados, tenuchcas y tlatelulcas ; y que fue sueño pasado lo que se había tratado, comunicado y concertado (f:056v.) Dijo a los viejos y a las mujeres y niños: ""Mirad que no os mudéis de e"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	10	next-line	nahuatl	0	tlatelulcas	o los de Tenochtitlan (f:057v.)	(f:057v.)	alacio de tecpan, que ya es hora de entrar con armas contra los de Tenochtitlan, nuestros enemigos, y ahora hemos de ver cuáles son los hombres se llaman e intitulan, nosotros los tlatelulcas o los de Tenochtitlan (f:057v.) hubieron los mexicanos tenuchcas con los tlatelulcas y como fueron vencidos y desbaratados los tlatelulcanos El rey Ax
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	11	next-line	nahuatl	0	tlatelulcas	y como fueron vencidos y desbaratados los tlatelulcanos El rey Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensajero, y fue elegido por mano de Cihuacóatl al principal llamado Cueatzin (Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	de ver cuáles son los hombres se llaman e intitulan, nosotros los tlatelulcas o los de Tenochtitlan (f:057v.) hubieron los mexicanos tenuchcas con los tlatelulcas y como fueron vencidos y desbaratados los tlatelulcanos El rey Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensaj
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	12	next-line	mixed	0	Cueatzin	(Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensajero, y fue elegido por mano de Cihuacóatl al principal llamado Cueatzin (Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llam
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	13	next-line	mixed	0	Copolco	, que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	"ana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.) 58v¾] Dijo Cihuacóatl Tlacaeleltzin: ""Ya han comenzado los tlatelulcas , pues nos han muerto a nuestr"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	14	next-line	nahuatl	0	tlatelulcas	, pues nos han muerto a nuestro principal Cueatzin teuctli (f:058v.)	(f:058v.)	"eron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.) 58v¾] Dijo Cihuacóatl Tlacaeleltzin: ""Ya han comenzado los tlatelulcas , pues nos han muerto a nuestro principal Cueatzin teuctli (f:058v.) Tornan luego a les decir los mexicanos a los tlatelulcas : ""¿Qué es vuestra pret"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	15	next-line	nahuatl	0	tlatelulcas	"""¿Qué es vuestra pretensión, tlatelulcas (f:058r.)"	(f:058r.)	"""Ya han comenzado los tlatelulcas , pues nos han muerto a nuestro principal Cueatzin teuctli (f:058v.) Tornan luego a les decir los mexicanos a los tlatelulcas : ""¿Qué es vuestra pretensión, tlatelulcas (f:058r.) Cesen por ahora las muertes de los tlatelulcas (f:059r.) Dijo Axayaca a l"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	16	next-line	nahuatl	0	tlatelulcas	Dijo Axayaca a los tlatelulcas :	(f:059r.)	"Tornan luego a les decir los mexicanos a los tlatelulcas : ""¿Qué es vuestra pretensión, tlatelulcas (f:058r.) Cesen por ahora las muertes de los tlatelulcas (f:059r.) Dijo Axayaca a los tlatelulcas : ""También habéis de hacer bizcocho para la gente de la guerra y pinole y frijol molido, y lo habéis de lle"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	17	next-line	nahuatl	0	tlatelulcas	"""También habéis de hacer bizcocho para la gente de la guerra y pinole y frijol molido, y lo habéis de llevar cargado cuando fuéremos a las guerras, y el cacao pinol, para los principales y capitanes y para nuestros recibimientos de principales forasteros que vinieren a nuestra corte, y esto cada ochenta días, un día, y en canastas de caña grandes, y habéis de ir a barrer al palacio mexicano cada día, y, pues fuisteis en justa guerra vencidos y muertos, ya no habéis de tener palacio ni templo de Huitzilopochtli, que de hoy en adelante será de para corral (f:059r.)"	(f:059r.)	"r>""¿Qué es vuestra pretensión, tlatelulcas (f:058r.) Cesen por ahora las muertes de los tlatelulcas (f:059r.) Dijo Axayaca a los tlatelulcas : ""También habéis de hacer bizcocho para la gente de la guerra y pinole y frijol molido, y lo habéis de llevar cargado cuando fuéremos a las guerras, y el cacao pinol, para los"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	18	next-line	nahuatl	0	tlatelulcas	: cacao, mantas, chile, maíz, legumbres, piedras de moler, metates y de esta suerte de comidas y bebidas, hasta ollas, jícaras, llevaron las mujeres mexicanas a Tenochtitlan (f:060v.)	(f:060v.)	9r.) Y luego Axayaca hizo cesar el prender a las mujeres y viejos y les dio libertad, salvo las mujeres mexicanas hicieron y saquearon las casas desamparadas de los tlatelulcas : cacao, mantas, chile, maíz, legumbres, piedras de moler, metates y de esta suerte de comidas y bebidas, hasta ollas, jícaras, llevaron las mujeres mexicanas a Tenochtitlan <small
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	19	next-line	nahuatl	0	tlatelulcas	, les dijo:	(f:060r.)	"y de esta suerte de comidas y bebidas, hasta ollas, jícaras, llevaron las mujeres mexicanas a Tenochtitlan (f:060v.) Desde algunos días, llamó Axayaca a los tlatelulcas , les dijo: ""Padres y hermanos míos, a la guerra se ofrece ir y es menester luego deis orden para nuestro matalotaje, que es pinole con mucho chian y cacao pinole (f:060r"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	20	next-line	nahuatl	0	tlatelulcas	Llamó a Petlacalcatl les diese de los reales tributos, a sendas cargas de muy buenas mantas y de comer y beber, y fueron los tlatelulcanos muy contentos del emperador Moctezuma, y así, de ver el amor les tenía Moctezuma a los tlatelulcas , lloraban de placer y se acordaban de la sinrazón usaron su rey, Moquihuix y su suegro, que por ellos estaban y tributaban a sus propios hermanos y amigos, y padre con hijo (f:125r.)	(f:060r.)	ego deis orden para nuestro matalotaje, que es pinole con mucho chian y cacao pinole (f:060r.) se les encargó que lo habían de llevar cargado a la guerra los tlatelulcas (f:060r.) Llamó a Petlacalcatl les diese de los reales tributos, a sendas cargas de muy buenas mantas y de comer y beber, y fueron los tlatelulcanos muy cont
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	21	next-line	nahuatl	0	tlatelulcas	, lloraban de placer y se acordaban de la sinrazón usaron su rey, Moquihuix y su suegro, que por ellos estaban y tributaban a sus propios hermanos y amigos, y padre con hijo (f:125r.)	(f:125r.)	ributos, a sendas cargas de muy buenas mantas y de comer y beber, y fueron los tlatelulcanos muy contentos del emperador Moctezuma, y así, de ver el amor les tenía Moctezuma a los tlatelulcas , lloraban de placer y se acordaban de la sinrazón usaron su rey, Moquihuix y su suegro, que por ellos estaban y tributaban a sus propios hermanos y amigos, y padre con hijo <small
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	22	next-line	nahuatl	0	tlatelulcas	Acabado esto de las mujeres, subió un principal tlatelulcatl llamado Xochicoatl (f:059v.)	(f:144r.)	l> También llegó el mensajero de Tlatelolco, le dijeron como los tlatelulcanos habían hecho buena, que solos ellos prendieron a ciento de los tlaxcaltecas y murieron de los tlatelulcas trescientos y sesenta (f:144r.) TLATELULCATL Acabado esto de las mujeres, subió un principal tlatelulcatl llamado Xochicoatl (f:059v.)</smal
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	23	next-line	mixed	0	Xochicoatl	Acabados los mexicanos, entraron los tlaltulcanos (f:139r.)	(f:059v.)	cas y murieron de los tlatelulcas trescientos y sesenta (f:144r.) TLATELULCATL Acabado esto de las mujeres, subió un principal tlatelulcatl llamado Xochicoatl (f:059v.) TLALTULCANOS Acabados los mexicanos, entraron los tlaltulcanos (f:139r.) TLATELULCANOS Y con esto, cuéntanselo a su rey
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	24	next-line	nahuatl	0	tlatelulcas	y como fueron vencidos y desbaratados los tlatelulcanos El rey Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensajero, y fue elegido por mano de Cihuacóatl al principal llamado Cueatzin (Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	"huix, dijo: ""Ya el propósito y conjuración de los tlatelulcanos es hecho, no se puede quitar ni apartar (f:058v.) hubieron los mexicanos tenuchcas con los tlatelulcas y como fueron vencidos y desbaratados los tlatelulcanos El rey Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensaj"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	25	next-line	mixed	0	Cueatzin	(Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	Axayaca mexicano, condoliéndose de la destrucción que había de venir sobre Tlatelolco, le tornó a enviar otro mensajero, y fue elegido por mano de Cihuacóatl al principal llamado Cueatzin (Rana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llam
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	26	next-line	mixed	0	Copolco	, que ahora es Santa María la Redonda (f:058v.)	(f:058v.)	ana preciada), y hecha la embajada, se azoró Moquihuix con esto y a instancia de su suegro mandaron dar garrote al mensajero Cuetzin mexicano y fueron a arrojarlo al barrio llaman Copolco , que ahora es Santa María la Redonda (f:058v.) Y pues nos comenzaron los tlatelulcanos, justo es que lo acabemos nosotros (f:058r.) Y y
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	27	next-line	nahuatl	0	tlatelulcas	, lloraban de placer y se acordaban de la sinrazón usaron su rey, Moquihuix y su suegro, que por ellos estaban y tributaban a sus propios hermanos y amigos, y padre con hijo (f:125r.)	(f:125r.)	ributos, a sendas cargas de muy buenas mantas y de comer y beber, y fueron los tlatelulcanos muy contentos del emperador Moctezuma, y así, de ver el amor les tenía Moctezuma a los tlatelulcas , lloraban de placer y se acordaban de la sinrazón usaron su rey, Moquihuix y su suegro, que por ellos estaban y tributaban a sus propios hermanos y amigos, y padre con hijo <small
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	28	next-line	nahuatl	0	texhuatzalli	(harina molida de maíz), frijol molido, pinole de cacao y pinole molido, mantas de nequén delgadas para el camino, cactles (cotaras) para caminar, chile molido, cueros colorados (f:139v.)	(f:139v.)	as hiciere el rey Moctezuma, pues lo mandaba así expresamente (f:139v.) Vinieron los tlatelulcanos, trajeron mucho bastimento de todo género de comida llaman texhuatzalli (harina molida de maíz), frijol molido, pinole de cacao y pinole molido, mantas de nequén delgadas para el camino, cactles (cotaras) para caminar, chile molido, cueros colorados <
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	29	equals	nahuatl	0	tlatelulcas	] llamó el rey Moctezuma a Cihuacóatl, le dijo:	(f:144r.)	l> También llegó el mensajero de Tlatelolco, le dijeron como los tlatelulcanos habían hecho buena, que solos ellos prendieron a ciento de los tlaxcaltecas y murieron de los tlatelulcas trescientos y sesenta (f:144r.) Pero mirad, hermanos tlatelulcanos, de ambas cosas hemos de considerar de nuestros muertos y llorarlos, y de los vivos, la ve
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	1	next-line	nahuatl	0	(Tlatelulco) (Tlatilulco)	Estaban también allí en Tepepulco, hasta cuatro latinos: a los cuales ya pocos años, antes había enseñado, la gramática, en el colegio de santa cruz, en el tlatilulco.	Lib. 2, fol. 1, p. 55 v.	"TLATELOLCO: ""En el mogote"" (Tlatelulco) (Tlatilulco) Estaban también allí en Tepepulco, hasta cuatro latinos: a los cuales ya pocos años, antes había enseñado, la gramática, en el colegio de santa cruz, en el tlati"
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	2	next-line	nahuatl	0	tlatilulco.	[Al referirse a la fiesta Quecholli]	Lib. 2, fol. 1, p. 55 v.	lco) Estaban también allí en Tepepulco, hasta cuatro latinos: a los cuales ya pocos años, antes había enseñado, la gramática, en el colegio de santa cruz, en el tlatilulco. Lib. 2, fol. 1, p. 55 v. [Al referirse a la fiesta Quecholli] Mandaban que se buscasen cañas, para hacer saetas: y cada uno de los solda
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	3	next-line	nahuatl	0	tlatelulco	y de México.	Lib. 2, fol. 78, p. 132 r.	> [Al referirse a la fiesta Quecholli] Mandaban que se buscasen cañas, para hacer saetas: y cada uno de los soldados, traía una carga de cañas, y todos juntos del tlatelulco y de México. Lib. 2, fol. 78, p. 132 r. [Al referirse a la fiesta del mes Panquetzaliztli:] Arrastrábanlos por el tlachco, ensangrentába
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	4	next-line	nahuatl	0	tlatilulco	, iban acompañándole cuatro nigrománticos, y otra mucha gente.	Lib. 2, fol. 86, p. 140 r.	tzaliztli:] Arrastrábanlos por el tlachco, ensangrentábase todo el suelo, con la sangre que de ellos salía, yéndolos arrastrando. Hecho esto, iba luego corriendo, hacia tlatilulco , iban acompañándole cuatro nigrománticos, y otra mucha gente. Lib. 2, fol. 86, p. 140 r. [Al referirse a las ceremonias que hacían en el mes Izcall
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	5	next-line	nahuatl	0	tlatilulco.	[Al referirse a los sacrificios que se hacían frente a la imagen del dios Painal, dice:]	Lib. 2, fol. 99, p. 153 r.	>[Al referirse a las ceremonias que hacían en el mes Izcalli, delante de la estatua Milintoc] Estas dos ceremonias dichas no se hacía en todas partes, sino por aquí por tlatilulco. Lib. 2, fol. 99, p. 153 r. [Al referirse a los sacrificios que se hacían frente a la imagen del dios Painal, dice:] Mataban dos esclavos
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	6	next-line	nahuatl	0	tlatilulco	Al buen entendedor pocas palabras o bien entiendo que murmuráis de mí por sumas. Este adagio se toma de un lugar que se llama coionacazco solamente se usa en el tlatilulco.	Lib. 2, fol. 107, p. 161 v.	ios Painal, dice:] Mataban dos esclavos, que eran imágenes de dos dioses, que llaman amapantzitzin, y muchos cautivos: de allí comenzaban la procesión, iban derechos al tlatilulco . Lib. 2, fol. 107, p. 161 v. Al buen entendedor pocas palabras o bien entiendo que murmuráis de mí por sumas. Este adagio se toma de un lugar que se llama
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	7	next-line	nahuatl	0	tlatilulco.	Axaiaca, fue el sexto señor de México, y señoreó catorce años, y en su tiempo hubo guerra, entre los de tenuchtitlan, y los de tlatelulco: y los de tlatelulco perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli.	Lib. 6, fol, 196, p. 200 r.	v. Al buen entendedor pocas palabras o bien entiendo que murmuráis de mí por sumas. Este adagio se toma de un lugar que se llama coionacazco solamente se usa en el tlatilulco. Lib. 6, fol, 196, p. 200 r. Axaiaca, fue el sexto señor de México, y señoreó catorce años, y en su tiempo hubo guerra, entre los de tenuchtitlan, y los de
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	8	next-line	nahuatl	0	tlatelulco:	y los de tlatelulco perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli.	Lib. 8, fol. 1, p. 251 v.	br> Lib. 6, fol, 196, p. 200 r. Axaiaca, fue el sexto señor de México, y señoreó catorce años, y en su tiempo hubo guerra, entre los de tenuchtitlan, y los de tlatelulco: y los de tlatelulco perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	9	next-line	nahuatl	0	tlatelulco	perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli.	Lib. 8, fol. 1, p. 251 v.	p. 200 r. Axaiaca, fue el sexto señor de México, y señoreó catorce años, y en su tiempo hubo guerra, entre los de tenuchtitlan, y los de tlatelulco: y los de tlatelulco perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	10	next-line	nahuatl	0	tlatelulco	, no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli.	Lib. 8, fol. 1, p. 251 v.	tre los de tenuchtitlan, y los de tlatelulco: y los de tlatelulco perdieron el señorío, por la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli. Lib. 8, fol. 1, p. 251 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	tlatelolco	tlatelolco	en el mogote	strongest	sahagun_narrative_terms	narrative_term_context	11	next-line	nahuatl	0	tlatelulco	[Al referirse a los negocios entre mercaderes de diversas regiones]	Lib. 8, fol. 1, p. 251 v.	la victoria que tuvieron de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli. Lib. 8, fol. 1, p. 251 v. [Al referirse a los negocios entre mercaderes de diversas regiones] Y como los tomaban l
