source	record_id	field	original	editado	old_tokens	new_tokens	context
1580 Sahagún/Máynez	1580-sahagun-maynez:000381	Comentario	xocuahuitl	xocuahuitl	tlaujtecquj	tlauitecqui	miento, contra el escuadrón contrario, iban acompañando a esta tres viejas, que eran como sus madres, que nunca se le quitaban del lado: a la una llamaban aoa, a la otra tlaujtecquj, a la tercera, xocuahuitl : la pelea era, que se apedreaban con pellas, hechas de aquellas hilachas, que nacen en los árboles y con pellas hechas de hojas de espadañas,
1580 Sahagún/Máynez	1580-sahagun-maynez:000461	Comentario	yolloxochitl	yolloxochitl	yolloxochiqujtl	yolloxochiquitl	llaman iollosuchitl . Lib. 10, fol. 137, p. 139 v. Están plantado en floresta árboles en que se hacen las flores que se llaman yolloxochitl. Y también el árbol se llama yolloxochiqujtl. son esta flores olorosas y hermosas y su hechura es como corazón. Antiguamente solamente los señores las usaba especialmente las que se llaman tlacayolloxochitl, porque
1580 Sahagún/Máynez	1580-sahagun-maynez:000500	Comentario	cenotzqui*	cenotzqui	hecachichinquj	hecachichinqui	"TZQUI* : ""El que llama la helada"" (Cenotzqui) Hay en esta tierra ave de rapiña, que me parece es, esmerejón de España: le llaman necuilictli, y por otro nombre le llaman hecachichinquj; que quiere decir, el que chupa viento: y por otro nombre le llaman cenotzqui : que quiere decir, el que llama la helada, y también le llaman tletleton que quiere decir"
1580 Sahagún/Máynez	1580-sahagun-maynez:000524	Comentario	chalchiuhtamalli	chalchiuhtamalli	vauhqujltamalli	vauhquiltamalli	ando de las ofrendas que se hacían en honor al dios del fuego en la fiesta Izcalli, dice] Las mujeres, toda la noche, se ocupaban, en hacer unos tamales, que se llamaban vauhqujltamalli: y también en amaneciendo los iban a ofrecer, delante de la estatua: y así estaba gran cantidad de ellos delante la estatua: y como los muchachos, ofrecían, la caza, que
1580 Sahagún/Máynez	1580-sahagun-maynez:000539	Comentario	chapultepec	chapoltepec	chiqujuhio	chiquiuhio	le hace dios gran merced. Lib. 6, fol. 194, p. 198 v. [Al referirse a la travesía de los mexicanos, dice:] Vinieron a estarse un poco de tiempo, en el monte que se dice chiqujuhio, que es un poco más acá de hecatepec: y después estuvieron en chapultepec , viniendo todos juntos. Y en este tiempo, había tres cabeceras las más principales, conviene a
1580 Sahagún/Máynez	1580-sahagun-maynez:000566	Comentario	chichinahuia	chichinahuia	quatlapanquj	cuatlapanqui	"CHICHINAHUIA: ""En donde se quema"" (Chichinahuia) Y los autores del arte de saber hacer pulque, así como se hace ahora, se decían tepuztecatl, quatlapanquj, tliloa, papaiztac, Izocaca: todos los cuales inventaron la manera de hacer el pulque, en el monte llamado chichinahuia : y porque el dicho vino, hace espuma: también le"
1580 Sahagún/Máynez	1580-sahagun-maynez:000612	Comentario	chilli	chilli	tequjxqujte	tequixquite	beber el agua que haya estado con cal mezclada con chile. Lib. 10, fol. 104, p. 106 r. La enfermedad de la cólica pasión será buena curarse con el hollín mezclado con el tequjxqujte, yelulli y chile . Lib. 10, fol. 108, p. 110 r. Para la enfermedad de la estranguria será necesario beber el agua de la raíz nombrada amaxtla; y esta agua se beberá tamb
1580 Sahagún/Máynez	1580-sahagun-maynez:000639	Comentario	chiquihuitl	chiquihuitl	chiqujujtl	chiquiuitl	ere decir tortillas blancas, y calientes, y dobladas, compuesta en un chiquihuitl. Lib. 8, fol. 22, p. 273 v. Usaban también guardar unos cestillos que se llaman Tlaqual chiqujujtl: en que se ponían las tortillas. Lib. 8, fol. 25, p. 275 v. El que trata en los cestos que se llaman chiquihuites, primero antes que los haga, echa las cañas en el agua
1580 Sahagún/Máynez	1580-sahagun-maynez:000700	Comentario	coatlinchan	coatlinchan	chiqujuhio	chiquiuhio	"COATLINCHAN: ""Casa de la serpiente"" [Al referirse a la travesía de los mexicanos:] Vinieron a estarse un poco de tiempo, en el monte que se dice chiqujuhio, que es un poco más acá de hecatepec, y después estuvieron en chapultepec, viniendo todos juntos. Y en este tiempo, había tres cabeceras los más principales, conviene a"
1580 Sahagún/Máynez	1580-sahagun-maynez:000705	Comentario	coaxoxohqui*	coaxoxoqui	cololiuhquj	cololiuhqui	unos granillos, o semilla de la hierba nombrada, coaxoxoqui . Lib. 10, fol. 110, p. 112 v. Hay una hierba que se llama coatl xoxoqui , y crían una semilla, que se llama cololiuhquj, o coatl xoxoqui , esta semilla emborracha y enloquece danla por bebedizos para hacer daño, a los que quiere mal, y los que la comen paréceles que ven visiones, y cosas
1580 Sahagún/Máynez	1580-sahagun-maynez:000727	Comentario	colhuacan	colhuacan	Myzqujc	Myzquic	Los españoles y los tlaxcaltecas combatían por tierra unos por la parte que se dice yacalco y de la parte del agua peleaban los de xuchmjlco y los de cujtlaoac, y los de Myzqujc, y los de coloacan. Lib. 12, fol. 70, p. 477 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:000750	Comentario	coyocuexi	coyocuexi	uitzqujlitl	uitzquilitl	"COYOCUEXI: ""La falda del coyote"" (Coyocuexi) Hay otra hierba que se llama coyocuexi es semejante al uitzqujlitl que arriba se dijo no es espinosa tallece y florece no la usan comer los muchachos ni muchachas es amarga y empece a la garganta porque hace la voz ronca especial a los"
1580 Sahagún/Máynez	1580-sahagun-maynez:000770	Comentario	ahua	ahua	tlautecquj	tlautecqui	dos: uno de mozas y otro de viejas- iban acompañando a esta tres viejas que eran como sus madres, que nunca se le quitaban del lado: a la una la llamaban aoa , a la otra tlautecquj, a la tercera xoquauhtli. La pelea era, que se apedreaban, con pellas, hechas de aquellas hilachas, que nacen en los árboles o con pellas, hechas de hojas de espadañas y
1580 Sahagún/Máynez	1580-sahagun-maynez:000792	Comentario	cuanacaquilitl	cuanacaquilitl	caqujlitl	caquilitl	elan. Son de muy buen comer, la mejor carne de todas la aves; comen maíz ajado, cuando pequeños y también bledos cocidos, y molidos, y otra hierba que llaman tonalchichi caqujlitl, y otra que llaman cuanacaquilitl. Lib. 11, fol. 56, p. 208 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000794	Comentario	cuapetlahuac*	cuapetlahuac	quapetlanquj	cuapetlanqui	"CUAPETLAHUAC* : ""Cabeza limpia"", ""La de cabeza desnuda"" (Cuapetlahuac) Hay otra ave del agua que se llama cuapetlahuac , o quapetlanquj, quiere decir, cabeza sin pluma, así como el ave que se llama Axoque, que pienso es garza: tiene la cabeza grande como la de un gallo de papago: es calvo tiene las uñas"
1580 Sahagún/Máynez	1580-sahagun-maynez:000825	Comentario	ahuehuetl	ahuehuetl	cototzauhqujxiujtl	cototzauhquixiuitl	AHUEHUETL: Sabino (Ahuehuetl) Hay otra hierba medicinal que se llama cototzauhqujxiujtl, las ramas y hojas de esta hierba son angostas y delgadas: como las hojas del ahuehuetl . Lib. 11, fol. 146, p. 298 v. Hay otra hierba medicinal que se llama yztacpatli,
1580 Sahagún/Máynez	1580-sahagun-maynez:000830	Comentario	cuauhnexatolli	cuauhnexatolli	tequjsqtl	tequisqtl	referirse a lo que se acostumbraba comer en casa de los señores:] Bebían también otra manera de mazamorra, hecha con harina, muy espesa, y también muy blanca, hecha con tequjsqtl que se llama cuauhnexatolli. Lib. 8, fols.24 y 25, p 275 v y 276 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:000831	Comentario	cuauhocuilli	cuauhocuilli	piqujto	piquito	nos que se crían dentro de los maderos llaman cuauh ocuilli : son muy blandos y siempre están dentro, del madero, allí se crían y allí comen, y allí se mueren, tienen el piqujto muy recio, que barrenan el madero, y andan por de dentro del: estos son los que llamamos carcoma. Lib. 11, fol. 106, p. 258 r. y v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000894	Comentario	cuitlahuac	cuitlahuac	Iaoaliuhquj	Iaoaliuhqui	"CUITLAHUAC: ""Lugar de tecuitlatl"", ""Lama de agua"", ""Suciedad seca"" (Cuitlahuac) [Hay] otro monte, cerca de cuitlahuac , que se llama Iaoaliuhquj. Lib. 11, fol. 233, p. 384 r. Habiendo oído Moctezuma todas estas cosas, y viendo que venían los españoles derechos a México, mandó cerrar los caminos, por donde habían"
1580 Sahagún/Máynez	1580-sahagun-maynez:000905	Comentario	ecatepec	ecatepec	chiqujuhio	chiquiuhio	es eran, y de donde venían: y los echaban de sus pueblos, y pasando por tulla, y ichpuchco y por hecatepec: vinieron a estarse un poco de tiempo, en el monte que se dice chiqujuhio, que es un poco más acá de ecatepec . Lib. 10, fol. 148, p. 150 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:000947	Comentario	huahuantin	huahuantin	reliqujas	reliquias	vos. Como se dijo, en el capítulo pasado: los cuales llamaban oahuanti : también a estos los arrancaban, los cabellos de la corona de la cabeza: y los guardaban como por reliqujas. Lib. 2, fol. 18, p. 72 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000960	Comentario	huauhquilitl	huauhquilitl	vauhqujlitl	vauhquilitl	"HUAUHQUILITL: ""Hierba de bledos"" (Huauhquilitl) Una de las hierbas que se comen cocidas se llama vauhqujlitl que son bledos es muy verde, tiene las ramas delgadillas y altillas, tiene las hojas anchuelas. Los tales de esta hierba se llaman vauhtli, la semilla de esta hierba se"
1580 Sahagún/Máynez	1580-sahagun-maynez:000964	Comentario	huauhtli	huauhtli	vauhqujlitl	vauhquilitl	lamente se da maíz, frijoles, y unas semillas que son de mantenimiento, llamadas huauhtli . Lib. 10, fol. 131, p. 133 r. Una de las hierbas que se comen cocidas se llama vauhqujlitl que son bledos es muy verde, tiene las ramas delgadillas y altillas, tiene las hojas anchuelas. Los tales de esta hierba se llaman huauhtli , la semilla de esta hierba s
1580 Sahagún/Máynez	1580-sahagun-maynez:000966	Comentario	huauhtzontlitonalchillo	huauhtzontlitonalchillo	oauhqujmolli	oauhquimolli	"secas"" (Oauhtzontli tonalchillo) [Al referirse a las comidas de los señores] Usaban también comer unas ciertas maneras de potajes, hechas a su modo, una de ella se llama oauhqujmolli... Otra se llama oauhtzontli tonalchillo , hecha de semilla de bledos verdes, y con chilli verde. Lib. 8, fol. 24, p. 274 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:000981	Comentario	huepantontli*	huepantontli	ueuetzquj	ueuetzqui	"HUEPANTONTLI* : ""Viguilla"" (Huepantontli) A las vigas del entresuelo, llamaban ueuetzquj o huepantontli: son cuadradas, unas largas, otras cortas. Lib. 11, fol. 119, p. 271 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:000992	Comentario	huey cuauhquilitl*	huey cuauhquilitl	teuvauhqujlitl	teuvauhquilitl	"HUEY CUAUHQUILITL* : ""Gran hierba del bosque"" (Huey cuauhquilitl) Hay otra manera de hierba que se llama huey cuauhquilitl o teuvauhqujlitl son bledos silvestres y cómense cocidos y son amargos antes de cocerse, y después son sabrosas. Lib. 11, fol. 135, p. 287 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001005	Comentario	huictlolinqui	huictlolinqui	uictlolinquj	uictlolinqui	n justicia derecha, o justa; sino injustamente la hacían y por eso fueron muertos: y eran estos que luego se nombran, el primero se llamaba Miscoatlayloltac...el séptimo uictlolinquj: estos eran todos de tlatelulco. Lib. 8, fols. 26 y 27, p. 276 v. y 277 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:001026	Comentario	huitzitzilmichi	huitzitzilmichi	piqujllo	piquillo	"HUITZITZILMICHI: ""Pez colibrí"" (Huitzitzilmichi) Hay un pez en el mar que se llama huitzitzilmichi : llámase así porque tiene el piqujllo muy delgado, como el avecilla que se llama zinzon, que anda chupando flores. Lib. 11, fol. 62, p. 214 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001066	Comentario	ichpochco	ichpochco	chiqujuhio	chiquiuhio	diferentes comarcas, dice:] Y los echaban de sus pueblos, y pasando por tulla, y ichpuchco y por hecatepec vinieron a estarse un poco de tiempo, en el monte que se dice chiqujuhio. Lib. 10, fol. 148, p. 150 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:001086	Comentario	ihuiquentzin*	ihuiquentzin	caqujlitl | quanacaqujlitl	caquilitl | cuanacaquilitl	an. Son de muy buen comer, la mejor carne de todas las aves; comen maíz majado, cuando pequeños y también bledos cocidos, y molidos, y otra hierba que llaman tonalchichi caqujlitl, y otra que llaman quanacaqujlitl. Lib. 11, fol. 56, p. 208 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001092	Comentario	ilamaton*	ilamaton	cioatlamacazquj	cioatlamacazqui	"ILAMATON* : ""Viejecita"" Hay otro animalejo que se llama mapachitli y también le llaman cioatlamacazquj, y también se llama, ilamaton : quiere decir, viejecilla: tiene las manos, y los pies como persona, destruye los maizales cuando están verdes, comiéndolos; sube a los ár"
1580 Sahagún/Máynez	1580-sahagun-maynez:001103	Comentario	amilotetl*	amilotetl	coqujtos	coquitos	"AMILOTETL* : ""Huevo de amilotl"" (Amilotetl) Hay otros coqujtos que se llaman michtetei, o amilotetl: cómenlos. Lib. 11, fol. 69, p. 221 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001121	Comentario	itzmiquilmolli	itzmiquilmolli	oauhqujlmolli	oauhquilmolli	[Al referirse a las comidas que se acostumbraban en la casa de los señores] Usaban también comer unas ciertas maneras de potajes, hechas a su modo, una de ella se llama oauhqujlmolli... Otra se llama itzmiquilmolli y con chilli verde, y es bueno de comer. Lib. 8, fol. 24, p. 274 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001135	Comentario	ixiayahual	ixiayahual	eheloqujitic	eheloquitic	ujeres que tienen poca leche, dice que:] La hinchazón de las tetas para curarse, será necesario moler la hierba, que se llama ixiaiaoal mezclada con otra hierba nombrada eheloqujitic y ponerla alrededor de aquella hinchazón, o dureza: y con esto vendrá a madurar, o se resolverá la hinchazón. Lib. 10, fol. 105, p. 107 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001144	Comentario	ixquixochitl	ixquixochitl	yzqujxochiquauitl	yzquixochiquauitl	mancebo que sacrificaban en la fiesta Toxcatl una guirnalda de flores; que llaman ixquixochitl. Lib. 2, fol. 32, p. 86 r. Hay otros árboles en las florestas que se llama yzqujxochiquauitl. En las cuales hacen unas flores que se llama Ixquixochitl son blancas muy olorosas y muy hermosas y muy preciadas. Lib. 11, fol. 189, p. 340 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:001151	Comentario	izcahuitli	izcahuitli	tequjxqujte	tequixquite	ienen poca leche en las tetas: será necesario moler la raíz llamada zalanalquiltic, y beberla dos, o tres veces, saliendo del baño y lavándose primero los pechos, con el tequjxqujte, con lo cual primera leche que sobreviniere de esta cura, la criatura se corrompera algún tanto y para acaballe de purgar será bueno darle dos, o tres gotas de esta agua
1580 Sahagún/Máynez	1580-sahagun-maynez:001153	Comentario	izocaca*	izocaca	quatlapanquj	cuatlapanqui	IZOCACA* : Inventor del pulque Y los autores del arte de saber hacer el pulque, así como se hace ahora, se decían tepuztecatl, quatlapanquj, tliloa, papaiztac, izocaca : todos los cuales inventaron la manera de hacer el pulque, en el monte llamado chichinauhia. Lib. 10, fol. 144, p. 146 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:001156	Comentario	izquixochicuahuitl	izquixochicuahuitl	Yzqujxochitl	Yzquixochitl	"AHUITL: ""Árbol del izquixóchitl"" (Izquixochicuahuitl) Hay otros árboles en las florestas que se llaman Izquixochicuahuitl . En las cuales hacen unas flores que se llaman Yzqujxochitl son blancas muy olorosas y muy hermosas y muy preciadas. Lib. 11, fol. 189, p. 341 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001166	Comentario	iztacamixcoatlailotlacac	iztacamixcoatlailotlacac	tlolinquj	tlolinqui	se llamaba Miscoatlaylotlac, el segundo teycnotlamachti, el tercero tlacuchcalcatl, el cuarto iztacamixcoatlailotlacac , el quinto umaca, el sexto toqual, el séptimo vic tlolinquj: estos eran todos de Tlateluco. Lib. 8, fol. 26, p. 276 r. y v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001169	Comentario	maceuhcatzin	maceuhcatzin	Qujtzicquaquatzin	Quitzicquaquatzin	"MACEUHCATZIN: ""Venerable penitente"" Entre los valientes, y famosos que han muerto en la guerra, conviene a saber con el señor Qujtzicquaquatzin, y con el señor Maceuhcatzin. Lib. 6, fol. 10, p. 13, r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001175	Comentario	macuilcalli	macuilcalli	macujlqujaujtl	macuilquiauitl	"MACUILCALLI: ""Cinco casa"" (Macuilcalli) El tercero cu, se llamaba macuilcalli , o macujlqujaujtl: en este cu mataban a las espías, de los contrarios, que prendían, cuando estaban en la guerra o contra los de vexotzinco, o contra los de tlaxcalla o a los venían a esp"
1580 Sahagún/Máynez	1580-sahagun-maynez:001177	Comentario	macuilmalinal iteopan	macuilmalinal iteopan	tlacuaquj	tlacuaqui	Macuilmalinal iteopan) El quincuagésimo séptimo edificio, se llamaba macuilmalinal iteopan : era un cu, donde estaban dos estatuas, una de macuilmalinal, y otro de topan tlacuaquj. Lib. 2, fol. 116, p. 170 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001182	Comentario	macuiltotec	macuiltotec	quauhqujiaoac	cuauhquiaoac	"MACUILTOTEC: ""Cinco veces nuestro señor"", ""Nuestro señor cinco"" (Macuiltotec) El sexagésimo nono edificio, se llamaba tlacochcalco, quauhqujiaoac: esta era una casa. En esta casa estaba una estatua del dios macuiltotec aquí a honra de este dios, mataban cautivos, en la fiesta de panquetzaliztli. Lib. 2, fol. 118,"
1580 Sahagún/Máynez	1580-sahagun-maynez:001191	Comentario	mapachtli*	mapachtli	cioatlamacazquj	cioatlamacazqui	MAPACHTLI* : Mamífero prociónido, Mapache (Mapachitli) Hay otro animalejo que se llama mapachitli y también le llaman cioatlamacazquj, y también se llama ilamaton: quiere decir: vejecilla: tiene las manos; y los pies como persona, destruelos maizales cuando están verdes, comiéndolos: sube a los árboles
1580 Sahagún/Máynez	1580-sahagun-maynez:001242	Comentario	mexico	mexico	chiqujuhio	chiquiuhio	enes eran, y de donde venían: y los echaban de sus pueblos, y pasando por tulla, y ichpucho y por hecatepec: vinieron a estarse un poco de tiempo en el monte que se dice chiqujuhio, que es un poco más acá de hecatepec: y después estuvieron en chapultepec, viniendo todos juntos. Y en este tiempo, había tres cabeceras las más principales, conviene a
1580 Sahagún/Máynez	1580-sahagun-maynez:001246	Comentario	amoyotl	amoyotl	musqujllas	musquillas	"AMOYOTL: ""Mosco de agua"" (Amoyotl) Hay unas musqujllas en el agua que llaman amoyotl , andan en el agua, pescanlas y cómenlas. Lib. 11, fol. 68, p. 220 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001259	Comentario	michpiltetei*	michpiltetei	coqujtos	coquitos	"MICHPILTETEI* : ""Larvas de peces"" Hay otros coqujtos que se llaman michpiltetei , o amilotetl: son como los de arriba dichos michpili cómenlos. Lib. 11, fol. 69, p. 221 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001272	Comentario	mictlantecuhtli*	mictlantecuhtli	qujnta	quinta	tábanle los papeles, que llevaba, y manojos de teas, y cañas de perfumes. Lib. 3, fol. 25, p. 226 v. Al referirse a las casas afortunadas y desafortunadas, comenta: ] La qujnta se llamaba macuilli itzcuintli, decían que era mal afortunada: porque era casa del dios del infierno, que le llamaban Mictlan tecutli . Lib. 4, fol. 25, p. 268 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001298	Comentario	mizquitl*	mizquitl	mjzqujquavitl	mizquiquavitl	otras que sacaran debajo de tierra, que llaman tzihuactli, nequametl, y mizquites , y palmitos. Lib. 10, fol. 123, p. 125 r. Hay unos árboles que se llaman, mizquitl , o mjzqujquavitl tienen la corteza, es muy blanco y correoso: es medicinal bébese, y hácese pulque con ella. Este árbol tiene la madera muy recia tiene las hojas como el ahuehuetl y sus
1580 Sahagún/Máynez	1580-sahagun-maynez:001336	Comentario	nahui ehecatl	nahui ehecatl	qujaujtl	quiauitl	"NAHUI EHECATL: ""Cuatro viento"" (Nauhecatl) En el signo llamado ce qujaujtl: en la cuarta casa que se llamaba nauhecatl , por ser esta casa muy mal afortunada, mataban en ella, los malhechores que estaban presos. Lib. 2, fol. 13, p. 67 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001339	Comentario	nanacace	nanacace	horqujlla	horquilla	"NANACACE: ""Que tiene orejas"" (Nanacaze) Contra la dolencia, y enfermedad de la horqujlla, que suele dar en los cabellos: es menester, cortarlos muy a raíz, y rasparse muy bien la cabeza y lavarla con orines, y untarla con una hierba, que se dice nanacaze , y"
1580 Sahagún/Máynez	1580-sahagun-maynez:001357	Comentario	necuiloctli*	necuiloctli	hecachichinquj	hecachichinqui	"NECUILOCTLI* : ""El ladrón"" (Necuiloctli) Hay en esta tierra ave de repina, que me parece es esmerejón de España: le llaman necuiloctli , y por otro nombre le llama hecachichinquj, que quiere decir, el que chupa viento: y por otro nombre, le llama cenotzqui que quiere decir, el que llama la helada, y también le llaman tletleton que quiere decir fu"
1580 Sahagún/Máynez	1580-sahagun-maynez:001430	Comentario	ocotzotl	ocotzotl	coalxoxouhquj	coalxoxouhqui	nchazones de los pies será bueno punzarse, como está dicho y echarse una bilma de ocotzote , mezclando con los polvos de unos granillos, o semilla de la hierba nombrada, coalxoxouhquj. Lib. 10, fol. 110, p. 112 v. Hay otra hierba medicinal que se llama tlatlalayotli, párrase por la tierra así como las calabazas monteses. Las hojas de estas son comesti
1580 Sahagún/Máynez	1580-sahagun-maynez:001443	Comentario	olli	olli	tequjxqujte	tequixquite	la boca: será necesario flotar la misma lengua con ulli . Lib. 10, fol. 103, p. 105 r. La enfermedad de la cólica pasión será bueno curarse con el hollín mezclado con el tequjxqujte, y el ulli , y el chile. Lib. 10, fol. 108, p. 110 r. Hay otros árboles que se llama olcuahuitl: son grandes altos y hacen gran copa, de estos árboles mana aquella resin
1580 Sahagún/Máynez	1580-sahagun-maynez:001480	Comentario	atlalilli*	atlalilli	tlaquaxiqujpilli	tlaquaxiquipilli	"ATLALILLI* : ""El papo del ave"" (Atlalilli) [Las partes constitutivas de las aves son : ] Atlalilli, tlatlaliloni, tlaquaxiqujpilli, cuitlatecomatl, cuitlamatlatl, quiere decir el papo del ave. Lib. 11, fol. 60, p. 212 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001483	Comentario	oquichpahtli*	oquichpatli	Oyoxochqujltic	Oyoxochquiltic	ls. 172 y 173, p. 324 y 325 r. y v. Hay otra hierba medicinal que se llama Oquichpatli , que tiene las ramas como las ramas de calabaza. También se llama por otro nombre Oyoxochqujltic tiéndese por la tierra. y también se encarama por los árboles: las ramas, y las hojas son verdes y algo vellosas y por el envés lisas, tiene las hojas dividas en tres pa
1580 Sahagún/Máynez	1580-sahagun-maynez:001528	Comentario	petztic	petztic	ylacatziuhquj	ylacatziuhqui	labrados de diversas labores, y muy costosos, unas llevaban, naguas que llaman iollo, otras que llaman totolitipetlaio, otras que llaman cacamoliuhqui, otras que llaman, ylacatziuhquj, o tlatzcallotl, otras que llama petztic , todas con sus cortapisos muy labradas. Lib. 2, fol. 51, p. 105 v. Otra hierba que se come cocida se llama quiltonilli, tiene l
1580 Sahagún/Máynez	1580-sahagun-maynez:001537	Comentario	pinotl	pinotl	calpisquj	calpisqui	ctezuma que se llamaban calpisques, que estaban cerca de la costa: luego fueron a ver, que era aquello que venía, que nunca habían visto navíos, uno de los cuales fue el calpisquj de cuestecatl, que llamaba pinotl . Lib. 12, fol. 3, p. 410 v.
