relation	token	guess	count	source	lemma	translation	guesses	rla_status	rla_match	review_bucket	bucket_reason
other	esquividad	esquivado	6	1571 Molina 1	acan teicniuhyotl	esquividad así.	esquivado, esquivada, esquivadas, esquivad	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	absolvedor	absolver	4	1571 Molina 1	tetlatlacolpolhuiani	absolvedor tal.	absolver, absolved, absolvemos	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
other	bandero	bandera	4	1571 Molina 1	moquetzani  +	bandero hombre de bando.	bandera, bandeo, bañadero	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	obispillo	obispado	4	1571 Molina 1	coyametl icuitlatecon tlanacatentli	obispillo de puerco.	obispado, obispal	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	orizaba	orillaba	4	1598 Tezozomoc	ahuilizapan	Orizaba en español *T	orillaba, erizaba, rizaba, orinaba, orzaba	rla_exact_other	toponimos/toponimos-municipios	subtract_proper_name	proper name or toponym
other	abrochadura	abrochada	3	153? Trilingüe	tlatlalpiliztli	Abrochadura de vestido.	abrochada, abrochara, abrochador	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	benito	bonito	3	1571 Molina 2	nezcayotilli  +	deshonrado e infamado con señal. s. de san benito. etc.	bonito, bendito, Benito, buenito, Benita	rla_exact_rae	RAE/Adjetivos; toponimos/toponimos-centros_poblados; toponimos/toponimos-ciudades; toponimos/toponimos-distritos; toponimos/toponimos-municipios	subtract_proper_name	proper name or toponym
other	embarbascador	embarbascados	3	1571 Molina 1	tlaapahuiani	embarbascador.	embarbascados, embarbascado	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	enredamiento	enervamiento	3	153? Trilingüe	tlatzohuiliztli	Enredamiento así.	enervamiento	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	ahuado	aguado	2	1571 Molina 1	pouhtiuh	sosegarse o estar seguro o ahuado de algún trabajo, enfermedad o angustia.	aguado, ahumado, ahusado	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	baldrés	baldes	2	153? Trilingüe	cuetlaxtli	Baldrés, pelleja curtida.	baldes, baldares, baldees, baldosé, baladres	not_in_rla		subtract_dle_valid	DLE: baldrés
other	bautizador	bautizado	2	1571 Molina 1	tecuatequiani	bautizador.	bautizado, bautizados	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	besador	besado	2	1571 Molina 1	tetennamiquini	besador.	besado, besados, pesador	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	bruñidero	bruñidor	2	1571 Molina 2	tlapetlahualoni	bruñidero, o instrumento para acecalar y bruñir algo.	bruñidor, bruñidores	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	burlamiento	bruñimiento	2	1780 ? Bnf_361	tetlatolpinahuiliztli	Escarnecimiento, o burlamiento de lo que otro dice.	bruñimiento	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	embarramiento	envaramiento	2	1571 Molina 2	tlazoquiyotiliztli	embarramiento así.	envaramiento, embarraliento	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	embetunador	embetunados	2	1571 Molina 1	tlatzacuiani	embetunador.	embetunados, embetunado	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	enrojar	enojar	2	153? Trilingüe	cozahuia ^	Enrojar o enrubiarse.	enojar, enrollar, enrolar, enrejar, enromar	rla_exact_rae	RAE/VerbosTransitivosPronominales	subtract_rla_valid	rla_exact_rae
other	oblada	poblada	2	153? Trilingüe	huentli	Oblada.	poblada, doblada, orlada, bolada, obrada	rla_exact_rae	RAE/NombresFemeninos	subtract_rla_valid	rla_exact_rae
other	orinienta	orienta	2	1571 Molina 2	poxcauhqui	cosa mohosa, o orinienta.	orienta	not_in_rla		subtract_dle_valid	DLE: oriniento, ta
other	abejita	abestia	1	2002 Mecayapan	calnec	Tipo de abejita negra que no tiene aguijón; se refiere también a su panal y su miel.	abestia	not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
other	aborrecedora	adormecedora	1	1765 Cortés y Zedeño	tetlacocoliani	Aborrecedor, aborrecedora	adormecedora	not_in_rla		subtract_valid_spanish	valid Spanish form missed by review heuristics
other	abortón	aborten	1	153? Trilingüe	tlatlaxtli	Abortón.	aborten, abortan	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	abundamiento	abultamiento	1	153? Trilingüe	onehualiztli	Abundamiento.	abultamiento	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	atestiguadores	atestiguados	1	1571 Molina 2	tetlaneltilicahuan	atestiguadores.	atestiguados, atestiguares	not_in_rla		subtract_valid_spanish	valid Spanish form missed by review heuristics
other	ayocacatzintli	aaocacatzintli	1	1571 Molina 2	cac, maz ez reuerencial  =	Cf. ayocacatzintli	aaocacatzintli	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	baco	buco	1	1579 Durán	ome tochtli	"Dos conejos. El dios Baco. ""Dos conejo"""	buco, laco, paco, bajo, banco	rla_exact_other	toponimos/toponimos-ciudades	subtract_proper_name	proper name or toponym
other	balacear	balacera	1	1984 Tzinacapan	toponia	Balacear, disparar	balacera, balancear	not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
other	barbechador	barbechados	1	1571 Molina 2	tlapopoxoani	barbechador.	barbechados, barbechado	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	bixa	bisa	1	2002 Mecayapan	achiyo	achiote (bixa orellana)	bisa, biga, bina, bita, bija	not_in_rla		subtract_taxonomy_latin	scientific/taxonomic token
other	blandilla	blandita	1	1571 Molina 2	yamactontli	cosa blandilla así.	blandita, blandida	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	blanquete	banquete	1	1765 Cortés y Zedeño	iztactic	Alvayarde, o blanquete	banquete, blanquece	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	blanquibol	blanquillo	1	153? Trilingüe	neichichihualoni	Blanquibol o albayalde.	blanquillo	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	blándilla	blandito	1	1571 Molina 2	yamancatontli	blándilla cosa.	blandito, blandita, blandir, blandura, blanditas	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	bodegonera	bodegonear	1	153? Trilingüe	cihuatl ocnamacac	Bodegonera que vende allí.	bodegonear, bodegonea, bodegoneara	not_in_rla		subtract_dle_valid	DLE: bodegonero, ra
other	bollitos	boletos	1	1579 Durán	tzocoyotl	Bollitos	boletos, pollitos, bolitas, bolillos	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	borbollitas	borbollabas	1	1571 Molina 2	ixmomoloca	hacer el agua borbollitas.	borbollabas, borbollas, borbollaras, borbolleas	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	borní	borne	1	153? Trilingüe	tlotli	Borní especie de halcón.	borne, bornee	rla_exact_rae	RAE/NombresMasculinos	subtract_taxonomy_latin	scientific/taxonomic context
other	brilloso	brillos	1	2002 Mecayapan	pichoti	brilloso	brillos, brillos o	not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
other	bruneta	Brunete	1	153? Trilingüe	castilla tliltic tilmatli	Bruneta, paño negro.	Brunete, bruñera	rla_exact_rae	RAE/NombresCompuestos	subtract_rla_valid	rla_exact_rae
other	catzin	catrín	1	1645 Carochi	quemaca	quëmàcatzin, sí (más reverencial) / sí (reverencial)	catrín	not_in_rla		subtract_nahuatl_or_source	exact source-form token
other	desalbardar	descalabrado	1	153? Trilingüe	pepechtemohuia	Desalbardar.	descalabrado, descalabrar, desagradar, descalabrada, descalabrara	rla_exact_rae	RAE/VerbosTransitivos	subtract_rla_valid	rla_exact_rae
other	embarcadura	embarcadora	1	153? Trilingüe	acalco calaquiliztli	Embarcadura.	embarcadora, embarradura	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	embarnecer	embravecer	1	1565 Sahagún Escolios	patlani	volar: por metáfora quieren decir crescer y embarnecer en el cuerpo.	embravecer, embarbecer	rla_exact_rae	RAE/VerbosIntransitivos	subtract_rla_valid	rla_exact_rae
other	embarnizadura	embarnizada	1	153? Trilingüe	tlachiemahuiliztli	Embarnizadura.	embarnizada, embarnizara	rla_exact_rae	RAE/NombresFemeninos	subtract_rla_valid	rla_exact_rae
other	embazadura	embaladura	1	153? Trilingüe	neizahuiliztli	Embazadura.	embaladura, embarradura	rla_exact_rae	RAE/NombresFemeninos	subtract_rla_valid	rla_exact_rae
other	embijamiento	embobamiento	1	1571 Molina 2	teozaliztli	unción, o embijamiento que se hace a otro.	embobamiento, embotamiento, embrujamiento	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	enaguazarse	enaguaras	1	1571 Molina 2	tlaahuaqui	abochornarse los panes o enaguazarse y anegarse.	enaguaras, enaguares	rla_reflexive_rae	enaguazar :: RAE/VerbosTransitivosPronominales	subtract_rla_valid	rla_reflexive_rae
other	enredadizo	enredado	1	1780 Clavijero	ilacatziuhqui	Enredadizo. Se dice particularmente de las plantas	enredado	not_in_rla		subtract_valid_spanish	valid Spanish form missed by review heuristics
other	enriscamiento	enroscamiento	1	153? Trilingüe	tlacpacieliztli	Enriscamiento.	enroscamiento, enfrascamiento	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	enrizamiento	enrolamiento	1	153? Trilingüe	cihuapahualiztli	Enrizamiento así.	enrolamiento, erizamiento	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	enrosador	enlosador	1	1765 Cortés y Zedeño	xochiani	Rosador, o enrosador	enlosador	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	iuan	iban	1	1571 Molina 2	noye	y también. s. iuan. conjunción.	iban, Juan, cuan, izan	not_in_rla		subtract_nahuatl_or_source	exact source-form token
other	iucci	iicci	1	1645 Carochi	icuci	cocerse, o sazonarse algo -véase iucci	iicci, iccci, idcci, ilcci, imcci	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	ngojtzitz	negojtzitz	1	2002 Mecayapan	teyina	derribar (frutas y flores) Inïn ejeca' yej panoj tami' quiteyîn seli'mângojtzitzîn. El viento que pasó derribó todos los mangos tiernitos.	negojtzitz	not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
other	quinatzin	quintaron	1	1580 Sahagún/Máynez	techotlalla chichimeca	Ayo y sucesor de Quinatzin	quintaron, quintan, quintaban, quintasen, quintaran	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	tequiz	Teques	1	1629 Alarcón	quechnahua	abrazarse dos (quittonezqui quechnahuàtequiz)	Teques	not_in_rla		subtract_nahuatl_or_source	exact source-form token
other	tzinap	tiznan	1	17?? Bnf_362	teotetl	Azauachi, esto no es propiamente azabache sino una piedra negra que en Tarasco llaman Tzinap	tiznan, tiznar, tizna, tiznas, tiznad	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
other	vtsa	visa	1	1565 Sahagún Escolios	tehuyotica tepiltzin	[hijo o hija legítimos] ídem [tlaçopilli], ca. vtsa (5)	visa, vasta	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	barrimiento		9	1571 Molina 1	tlehuahuanaliztli	barrimiento o barredura tal.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	iuhqui		9	1645 Carochi	ye	ya / çan ~ nö ihui, de la misma manera / (çan ~) nö iuh, de la misma manera / ca ~, ya / çan ~ nö iuhqui, de la misma manera / çan ~ nö, mismo / (in) ~ nechca, tiempos pasados / (in) ~ nëpa, tiempos pasados / ~ huècauh, antiguo / ~ imman, ya es hora / ~ imman,		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	buscamiento		7	1571 Molina 1	tlatemoliztli	buscamiento.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	tlacaeleltzin		6	1598 Tezozomoc	tlacaeleltze	Cf. tlacaeleltzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	cuandoquiera		5	1571 Molina 2	zaciquin	sea cuandoquiera. s. que algo acaeciere. adverbio.		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	oniquiz		5	1565 Sahagún Escolios	mana	ninomana. pt. oninomâ. Salir cosa llana como parece el sol que sale (d) / salir, pt. oniquiz. oninoman (23+)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	barnizamiento		4	1571 Molina 1	tlaaxhuiliztli	barnizamiento tal.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	bambaneamiento		3	1571 Molina 2	ahuic huechiliztli	bambaneamiento.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	barbinegro		3	1571 Molina 1	tentzon tliltic	barbinegro.		rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
no-guess	iuhcatzintli		3	17?? Bnf_362bis	iuhcatzintli	Iuhqui (adverbio, algunas veces es nombre, y su plural es Iuhquê, y su reverencial Iuhcatzintli) su significación se conoce por estos ejemplos		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	iuhqu		3	17?? Bnf_362bis	iuhcatzintli	Iuhqui (adverbio, algunas veces es nombre, y su plural es Iuhquê, y su reverencial Iuhcatzintli) su significación se conoce por estos ejemplos		not_in_rla		subtract_nahuatl_or_source	exact source-form token
no-guess	iuhquimma		3	17?? Bnf_362bis	in mayo$qui	lo mismo que iuhquimma		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	moyolicatzin		3	17?? Bnf_362bis	ammoyolicatzin	Vosotros, Os. (vide Moyolicatzin)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	notzicuicticauh		3	1565 Sahagún Escolios	tzicuictic	cosa suelto. ca. notzicuicticauh (4) / ligera, ca. notzicuicticauh (5) / vivo agudo ligero o veloz, ca. notzicuicticauh (13+)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	teputze		3	1565 Sahagún Escolios	cuexane	el que rige o sustenta algún cargo, estos tres vocablos [cuexane, teputze, macuche] andan siempre juntos, ca. nocuexanecauh (9-) / persona que lleva algo en el regazo (17)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	tlalhuiz		3	17?? Bnf_362bis	ilihuiz	inconsideramente. sinonimo de Tlalhuiz		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	tlaquatzi		3	1629 Alarcón	tlacopatli	bebedizo que es de la Raíz llaman tlacopàtli, aunque tal vez se valen de la cola del tlaquatzi / raíz		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	achitzin		2	1780 Clavijero	aquiton	Véase Achitzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	betuláceo		2	1984 Tzinacapan	ilicuahuitl	Aliso (árbol betuláceo)		not_in_rla		subtract_taxonomy_latin	scientific/taxonomic context
no-guess	boqueamiento		2	1571 Molina 1	camachaloliztli	boqueamiento.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	bravísimamente		2	1571 Molina 2	tlachichinacapololli	atormentado bravísimamente.		not_in_rla		subtract_valid_spanish	valid Spanish form missed by review heuristics
no-guess	chahuiztle		2	2002 Mecayapan	chahuiz	chahuiztle (enfermedad de plantas)		not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
no-guess	embarnizamiento		2	1571 Molina 1	tlachiyamahuiliztli	embarnizamiento de esta manera.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	embetunamiento		2	1571 Molina 1	tlatzauchuiliztli	embetunamiento.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	itechtzinco		2	1759 Paredes	itetzinco	de itechtzinco. Pierde la ch, por la siguiente tz / es lo mismo que itechtzinco		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	iuiyotia		2	1571 Molina 2	ihuiyoquiza	lo mismo es que iuiyotia.		not_in_rla		subtract_nahuatl_or_source	exact source-form token
no-guess	mauizopoloa		2	1571 Molina 2	mahuizpoloa	lo mismo es que mauizopoloa.		not_in_rla		subtract_nahuatl_or_source	exact source-form token
no-guess	nachtzin		2	1565 Sahagún Escolios	teachtze	el hermano mayor en linaje de oficio, dice la mujer nachtzin, ca. nachtze (1+)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	notlatziuhcauh		2	1565 Sahagún Escolios	tlatziuhqui	perezoso o perezosa, ca. notlatziuhcauh (2) {mi perezoso o perezoza} / persona perezosa, ca. notlatziuhcauh (9)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	onenquiz		2	1565 Sahagún Escolios	amo nenquiza	no pasar en balde, pt. amo onenquiz. (2)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	onipetzin		2	1565 Sahagún Escolios	petzini	asomar, pt. onipetzin (24) / nipetzini. pt. onipetzin. asomar se cualquiera cosa (e)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	onivaltziniloth		2	1565 Sahagún Escolios	hualtzinilotia	recular o volver atrás, pt. onivaltziniloth (100-)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	otlauizcalli		2	1565 Sahagún Escolios	quequetza  +	aparece gran claridad, pt. otlauizcalli moquequetz. (9+)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	polihuiztli		2	1571 Molina 2	ipam polihuiliztli  =	Cf. ipam polihuiztli		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	quemacatzin		2	17?? Bnf_362bis	quemaca	Si, con alguna reverencia. Quemacatzin. si, con mayor reverencia.		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	quiztiquiça		2	1571 Molina 2	quiztihuetzi	lo mismo es que quiztiquiça.		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	tlailiuizuia		2	1565 Sahagún Escolios	tlatlaxcoloa	[ser arrojado o precipitado] ídem [tlailiuizuia], pt. onitlatlaxcolo (52)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	tlathuiztli		2	1571 Molina 2	aquen tlattaliztli  =	Cf. aquen tlathuiztli		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	achihualhuetzi		1	1571 Molina 2	achinicchitonia:  =	Cf. achihualhuetzi		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	ahuizotl		1	1580 Sahagún/Máynez	tziuhcoac	Provincia conquistada por Ahuizotl		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	auhtzin		1	17?? Bnf_362bis	aú	se distingue mucho del anterior [auh]: su significación por ser dificultosa se entenderá mejor con los ejemplos. (sílaba larga y su reverencial Auhtzin)		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	barbasco		1	2002 Mecayapan	moycoy	barbasco (bejuco de donde se saca veneno para pescar)		not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
no-guess	basuriento		1	2002 Mecayapan	tlazoltla	haber basura (ambiente), basuriento		not_in_rla		subtract_regional_or_domain	modern/regional/domain vocabulary
no-guess	bixáceas		1	1580 Sahagún/Máynez	achiyotl	Árbol de las bixáceas		not_in_rla		subtract_taxonomy_latin	scientific/taxonomic context
no-guess	bizcochillo		1	1598 Tezozomoc	tlaxcalmimilolli	tortilla y manera de bizcochillo		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	bromeliáceas		1	1984 Tzinacapan	pachtli	Pachtle (planta de la familia de las bromeliáceas, que cuelga de las ramas de los árboles)		not_in_rla		subtract_taxonomy_latin	scientific/taxonomic context
no-guess	buharro		1	1579 Durán	cozcacuauhtli	"Buharro. ""Águila de collar"""		rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
no-guess	cauhtiquiza		1	1780 ? Bnf_361	necauhtiquizaliztli	Cosa quedada o detenida, vid cauhtiquiza		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	cenquizca		1	17?? Bnf_362bis	cenquizqui	muy, mucho. Junto con nombre lo hace superlativo. vide cenquizca		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	choquilitzatzi		1	1571 Molina 2	choquitzatzi	lo mismo es que choquilitzatzi.		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	choquitzatzi		1	1571 Molina 2	choquilitzatzi  =	Cf. choquitzatzi		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	choquiztli		1	1571 Molina 2	choquiliztli  =	Cf. choquiztli		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	cocotzin		1	1780 Clavijero	tlapalcocotli	Véase Cocotzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	colhuacatzinco		1	1580 Sahagún/Máynez	colhuacatzincatl	El que habita en Colhuacatzinco		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	cueyatzin		1	1598 Tezozomoc	cuetzin	Cf. cueyatzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	ehecacehuazquetzalli		1	1598 Tezozomoc	heccaçehuazquetzalli	Cf. ehecacehuazquetzalli		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	eltzitzica		1	1571 Molina 2	elpantlatla  =	Cf. eltzitzica		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	eltzitzicac		1	1571 Molina 2	elpantlatlac  =	Cf. eltzitzicac		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	eltzitzicaliztli		1	1571 Molina 2	elpantlatlaliztli  =	Cf. eltzitzicaliztli		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	embestimiento		1	153? Trilingüe	tlaehuatiquetzaliztli	Embestimiento.		not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
no-guess	enriquecidamente		1	1571 Molina 2	tecuiltonoliztica	enriquecidamente.		not_in_rla		subtract_valid_spanish	valid Spanish form missed by review heuristics
no-guess	huactzin		1	1629 Alarcón	huactzin  +	espíritu o conjurado huactzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huexotzincatl		1	1598 Tezozomoc	huexotzincatl	Cf. huexotzincatl		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huexotzinco		1	1580 Sahagún/Máynez	huexotzincayotl	A la manera de Huexotzinco		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huitzilihuiyotl		1	1598 Tezozomoc	huitzilihuiutl	Cf. huitzilihuiyotl		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huitzillan		1	1598 Tezozomoc	huitzilam	Cf. huitzillan		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huitzilopuchtli		1	1598 Tezozomoc	tetzauhteotl	abusión / Huitzilopuchtli *D		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huitztomatzin		1	1780 Clavijero	neixpopohualoni	Véase Huitztomatzin		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	huiztlanpa		1	1551-95 Documentos nahuas de la Ciudad de México	huitztlampa itztimani	[Sur] estar hacia Huiztlanpa		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
no-guess	ichpochtzintli		1	1759 Paredes	ichpotzintli	es Ichpochtzintli. Pierde la ch por la tz		not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
